ra,dec,source_type,z_spec,z_phot_mean,mag_g,mag_r,mag_z
5.7388,-11.8623,SER,-99,0.2902,20.3845,18.8755,18.1068
5.7561,14.7791,DEV,-99,0.4111,21.9617,20.1394,19.158
5.7592,-39.7262,EXP,-99,0.3703,20.5262,18.8784,17.9908
5.7628,9.1223,DEV,-99,0.6175,22.7713,20.9447,19.4824
5.8204,-1.4868,SER,0.5919,0.4671,21.6959,19.8614,18.6125
5.8382,26.2293,SER,0.5322,0.5441,20.724,19.0029,17.7968
5.8654,-55.4585,SER,-99,0.3034,20.0857,18.5192,17.7029
5.8795,28.7605,SER,0.4872,0.496,21.0106,19.1418,18.0013
5.8967,-59.2077,REX,-99,0.7539,23.3959,21.6701,19.9948
5.9082,12.4563,SER,0.4786,0.4876,20.4274,18.5396,17.3785
5.911,3.1453,DEV,0.3599,0.3867,19.8518,18.0055,17.0612
5.9144,-47.5701,DEV,-99,0.6478,22.7888,20.8891,19.4358
5.9176,3.1324,SER,0.3596,0.3817,20.5262,18.7761,17.8318
5.9218,-30.5717,SER,-99,0.3165,19.5554,17.9423,17.1337
5.9287,0.4977,SER,-99,0.2736,20.36,18.923,18.1177
5.9415,8.5309,DEV,0.6223,0.6706,22.1046,20.0748,18.4521
5.9444,-2.8964,SER,-99,0.3337,20.4624,18.7876,17.8899
5.9468,3.5218,SER,-99,0.7072,21.9789,20.5915,19.1784
5.9541,-59.1834,EXP,-99,0.1624,19.5192,18.994,18.7029
5.9629,-1.5812,REX,-99,0.3126,20.4734,18.9287,18.0503
5.9759,25.7691,SER,-99,0.3026,21.0861,19.9691,18.3135
5.9771,1.0271,SER,-99,0.3359,20.5154,19.2164,18.0983
5.9889,32.305,DEV,0.7661,0.7702,22.2537,20.1739,18.3351
5.9894,-2.4793,DEV,-99,0.6165,22.4687,20.5639,19.1405
5.9899,9.7963,REX,-99,0.3418,20.6377,19.4337,18.5919
5.992,-38.2724,DEV,-99,0.7595,23.3235,21.4683,19.7682
5.9923,-63.1094,SER,-99,0.3162,19.7822,18.7553,18.0995
5.994,-1.0207,DEV,-99,0.8468,22.7376,20.5689,18.5729
6.0092,-37.9768,SER,-99,0.2963,19.0538,17.5576,16.885
6.0392,-57.8958,DEV,-99,0.6546,22.4684,20.8678,19.4476
6.0394,7.5653,DEV,-99,0.2305,19.8026,18.4217,17.5344
6.042,-38.3673,SER,-99,0.5038,20.3173,18.4011,17.2428
6.0444,-3.9087,DEV,0.7626,0.7591,22.4693,20.4703,18.6491
6.0503,-63.645,SER,-99,0.2603,21.3262,20.2192,19.4713
6.0796,-61.2391,SER,-99,0.2907,20.4159,19.1902,18.4653
6.0911,-27.5966,SER,-99,0.4138,20.1885,18.3922,17.4277
6.1135,-45.0982,SER,-99,0.2337,20.1753,19.6694,19.4764
6.1277,-2.3909,SER,0.2818,0.2547,19.6425,18.1714,17.3516
6.1339,-3.5297,SER,-99,0.342,20.7128,19.0173,18.1092
6.1362,-4.5468,DEV,-99,0.4556,21.4697,19.5199,18.3407
6.1574,-57.8096,SER,-99,0.0467,17.5069,16.9523,16.5869
6.1627,-43.673,REX,-99,0.4254,20.3433,19.2041,18.4978
6.1633,-5.1021,SER,-99,0.4823,22.5812,20.9525,19.8846
