ra,dec,source_type,z_spec,z_phot,mag_g,mag_r,mag_z,reference
11.0219 ,-4.8058 ,SER,0.77237785,0.7711 ,22.8481 ,20.9150 ,19.0569 ,Huang et al. 2020
11.2093 ,-34.3125 ,SER,-99,0.6072 ,21.5348 ,19.6163 ,18.1889 ,
11.4123 ,-24.5672 ,SER,-99,0.5182 ,21.6871 ,19.8157 ,18.6540 ,
11.4948 ,-33.2477 ,SER,-99,0.3825 ,20.5245 ,18.7299 ,17.8279 ,
11.5461 ,-18.2712 ,SER,-99,0.3160 ,20.1758 ,18.6191 ,17.7769 ,Stein et al.2022
11.5582 ,7.4954 ,SER,-99,0.4904 ,21.4654 ,19.9759 ,19.0302 ,
11.6150 ,-63.2032 ,REX,-99,0.4539 ,21.1393 ,19.8754 ,19.1649 ,
11.6311 ,-1.5760 ,SER,-99,0.2498 ,20.9915 ,19.6906 ,18.9805 ,
11.7260 ,0.2636 ,SER,-99,0.2938 ,19.8442 ,18.4754 ,17.6443 ,
11.7582 ,30.7253 ,EXP,-99,0.2317 ,20.9861 ,20.2298 ,19.7182 ,
11.9986 ,-38.4459 ,SER,-99,0.3043 ,17.8306 ,16.2944 ,15.4934 ,
12.0723 ,-18.1481 ,REX,-99,0.6431 ,21.2651 ,19.9042 ,18.6923 ,
12.1211 ,-61.1384 ,SER,-99,0.5073 ,21.6773 ,19.8661 ,18.7541 ,Stein et al.2022
12.1211 ,-61.1384 ,SER,-99,0.5073 ,21.6773 ,19.8661 ,18.7541 ,
12.1577 ,33.6428 ,SER,-99,0.1208 ,18.7859 ,17.8266 ,16.6066 ,
12.2035 ,1.7942 ,DEV,0.7236,0.7351 ,20.9829 ,19.8515 ,18.4247 ,
12.4931 ,2.4544 ,SER,-99,0.4385 ,20.5066 ,20.0994 ,19.5712 ,Stein et al.2022
12.4931 ,2.4544 ,SER,-99,0.4385 ,20.5066 ,20.0994 ,19.5712 ,
12.6879 ,5.1953 ,SER,-99,0.3991 ,20.0586 ,18.4351 ,17.5036 ,Huang et al. 2021
12.7302 ,-17.3424 ,REX,-99,0.7519 ,21.7451 ,20.5652 ,19.1433 ,Huang et al. 2021
12.9008 ,-9.3904 ,DEV,-99,0.7134 ,22.3069 ,20.3294 ,18.6325 ,Huang et al. 2021
