ra,dec,source_type,z_spec,z_phot,mag_g,mag_r,mag_z,reference
60.4821 ,-34.0891 ,DEV,-99,0.5033 ,20.9632 ,19.3398 ,18.1837 ,Stein et al.2022
60.4915 ,-48.7503 ,SER,-99,0.6409 ,21.2227 ,19.6351 ,18.1836 ,Jacobs et al.2019
60.5238 ,-22.0990 ,SER,-99,0.4570 ,21.1696 ,19.3353 ,18.2787 ,Jacobs et al.2019
60.8822 ,-23.2443 ,REX,-99,0.5670 ,21.6411 ,20.4739 ,19.5646 ,Stein et al.2022
61.4532 ,-22.4275 ,SER,-99,0.5392 ,21.3488 ,19.8535 ,18.0365 ,Stein et al.2022
61.5345 ,-45.4401 ,SER,-99,0.5411 ,21.8164 ,19.9421 ,18.6000 ,Stein et al.2022
61.5534 ,-22.9034 ,DEV,-99,0.8007 ,22.8958 ,20.9022 ,18.9880 ,Huang et al. 2021
61.6770 ,-23.3205 ,SER,-99,0.5745 ,21.7207 ,19.8327 ,18.4759 ,Huang et al. 2021
61.8151 ,-57.2176 ,SER,-99,0.3663 ,19.2326 ,17.5069 ,16.6095 ,Jacobs et al.2019
63.3879 ,-16.8328 ,SER,-99,0.3310 ,20.9714 ,19.3566 ,18.5441 ,Huang et al. 2021
63.6168 ,-19.9192 ,DEV,-99,0.5720 ,21.0017 ,19.3768 ,18.1071 ,Jacobs et al.2019
63.9845 ,-5.3827 ,DEV,-99,0.7578 ,23.0531 ,21.2607 ,19.4824 ,Stein et al.2022
65.2425 ,-4.3574 ,SER,-99,0.7245 ,21.3358 ,19.8610 ,18.2505 ,Stein et al.2022
65.2768 ,-20.9997 ,DEV,-99,0.7982 ,22.6136 ,21.2045 ,19.4732 ,Huang et al. 2021
65.6056 ,-40.5322 ,SER,-99,0.3672 ,19.6484 ,17.8772 ,16.9905 ,Storfer et al. 2022
65.7967 ,-1.3515 ,DEV,-99,0.3851 ,20.3430 ,18.4592 ,17.4027 ,Huang et al. 2021
66.0117 ,-16.4113 ,DEV,-99,0.6681 ,21.6744 ,20.1133 ,18.6687 ,Stein et al.2022
66.1612 ,-33.2949 ,SER,-99,0.5542 ,20.0216 ,18.1936 ,16.8844 ,Jacobs et al.2019
66.4365 ,-57.6926 ,DEV,-99,0.3925 ,19.7297 ,18.3235 ,17.4633 ,Stein et al.2022
67.3782 ,-22.7332 ,SER,-99,0.6150 ,20.7999 ,20.0750 ,19.2804 ,Jacobs et al.2019
68.9243 ,-17.6354 ,SER,-99,0.6178 ,21.1800 ,19.5504 ,18.1408 ,Jacobs et al.2019
69.4506 ,-51.6078 ,SER,-99,0.7662 ,21.2537 ,20.1419 ,18.6833 ,Jacobs et al.2019
69.6110 ,-27.1239 ,SER,-99,0.7653 ,23.5299 ,21.3656 ,19.5674 ,Huang et al. 2021
70.8041 ,-17.5752 ,SER,-99,0.5625 ,21.6081 ,19.8659 ,18.6407 ,Stein et al.2022
71.9694 ,-29.1854 ,DEV,-99,0.5060 ,20.8095 ,19.4576 ,18.3946 ,Huang et al. 2021
72.2897 ,-29.3046 ,SER,-99,0.5489 ,21.0119 ,19.1883 ,17.9522 ,Jacobs et al.2019
72.9124 ,-8.0276 ,DEV,-99,0.7253 ,21.7283 ,20.4111 ,18.9803 ,Huang et al. 2021
73.1288 ,-30.5421 ,DEV,-99,0.7272 ,22.0336 ,20.6212 ,19.1212 ,Jacobs et al.2019
73.9441 ,-11.1371 ,SER,-99,0.5080 ,20.5046 ,18.6284 ,17.3991 ,Stein et al.2022
74.2036 ,-0.8212 ,DEV,-99,0.8609 ,23.5618 ,21.7162 ,19.7103 ,Huang et al. 2021
74.8883 ,-45.2656 ,SER,-99,0.3120 ,19.2134 ,17.7140 ,16.8601 ,Stein et al.2022
74.9851 ,-24.7028 ,SER,-99,0.2348 ,19.6751 ,18.6695 ,17.9405 ,Stein et al.2022
75.1405 ,-62.2077 ,SER,-99,0.7668 ,22.8191 ,20.8817 ,19.1158 ,Stein et al.2022
75.1551 ,-35.3075 ,SER,-99,0.5419 ,20.9771 ,19.0673 ,17.8213 ,Stein et al.2022
75.3911 ,-3.2937 ,DEV,-99,0.7746 ,22.3800 ,20.9834 ,19.3566 ,Huang et al. 2021
76.2697 ,-46.1993 ,SER,-99,0.6505 ,21.2999 ,19.8487 ,18.4545 ,Jacobs et al.2019
76.7310 ,-42.3457 ,SER,-99,0.3609 ,19.8808 ,18.1694 ,17.3153 ,Storfer et al. 2022
77.2053 ,-21.7419 ,SER,-99,0.6734 ,21.4735 ,19.5645 ,17.9517 ,Jacobs et al.2019
77.2638 ,-21.5958 ,DEV,-99,0.6289 ,21.7420 ,19.8440 ,18.3217 ,Huang et al. 2021
77.5953 ,-44.4359 ,SER,-99,0.5952 ,20.9024 ,19.5500 ,18.4527 ,Stein et al.2022
77.6960 ,-26.5395 ,SER,-99,0.6858 ,21.9768 ,20.5863 ,19.1602 ,Huang et al. 2021
78.1310 ,-22.3539 ,DEV,-99,0.6365 ,20.8471 ,19.8705 ,18.5355 ,Stein et al.2022
78.3561 ,-30.8433 ,SER,-99,0.3814 ,19.7200 ,17.9521 ,17.0327 ,Huang et al. 2021
78.5303 ,-54.9483 ,REX,-99,0.9476 ,22.0422 ,21.2312 ,19.6674 ,Jacobs et al.2019
78.9670 ,-35.6013 ,SER,-99,0.6509 ,21.8820 ,19.9912 ,18.4613 ,Stein et al.2022
80.6734 ,-43.7876 ,SER,-99,1.0104 ,21.5723 ,21.0504 ,19.9013 ,Storfer et al. 2022
