ra,dec,source_type,z_spec,z_phot_mean,mag_g,mag_r,mag_z
28.6357,31.1044,SER,,0.3618,20.68,19.1548,18.2571
28.696,-37.6719,REX,,0.4462,20.4784,19.3903,18.6881
28.8219,-35.183,EXP,,0.7662,22.3737,21.1433,19.6414
28.8233,-64.5816,SER,,0.4519,21.2748,20.5487,19.9435
28.8262,-21.4814,SER,,0.2708,18.9453,17.4489,16.6838
28.9082,-26.0768,SER,,0.2983,20.9275,19.7975,18.2474
28.9638,-7.7376,SER,0.5908,0.6015,22.1531,20.3346,18.9531
28.9727,-23.7686,SER,,0.1571,20.3419,19.9364,19.7855
29.1784,20.8688,DEV,,0.6516,23.4512,21.3882,19.8452
29.2958,-61.4288,DEV,,0.8295,21.7016,20.8954,19.4574
29.3004,28.3745,DEV,0.6651,0.7306,23.0775,21.2579,19.574
29.3247,-27.5342,SER,,0.157,18.8209,17.734,17.0322
29.4173,-37.4455,SER,,0.7537,21.0812,20.21,18.9163
29.4457,-25.2386,SER,,0.4155,21.2572,19.7015,18.7435
29.4992,5.4364,DEV,,0.3755,19.9252,18.9248,18.1229
29.5103,-8.5333,SER,,0.1795,18.9162,17.7476,17.002
29.5179,-22.4846,DEV,,0.2443,18.8165,17.5606,16.8544
29.5863,-15.5573,SER,,0.6892,21.118,20.2552,19.3603
29.7076,-34.2272,SER,,0.5009,20.5589,19.4864,18.6939
29.7202,0.3009,SER,0.362,0.3835,20.3397,18.6311,17.7085
29.7403,-23.3898,REX,,0.7573,21.1091,20.2171,19.0767
29.8724,-56.588,SER,,0.194,18.8167,17.5567,16.7482
30.0498,-34.9351,DEV,,0.6559,22.509,20.8311,19.381
30.128,-3.3751,SER,,0.1827,18.5072,17.4329,16.7294
30.3392,32.475,SER,0.3957,0.3317,20.6585,18.9964,17.9497
30.4216,-34.2384,SER,,0.3497,20.0746,18.416,17.5066
30.4465,6.6551,SER,,0.2303,21.4181,20.535,18.5243
30.456,8.2627,EXP,,0.0793,19.9966,19.6961,19.4782
30.4758,-45.3282,REX,,0.8751,21.392,20.7561,19.7083
30.5426,-11.1512,SER,,0.4428,22.2909,20.4862,19.4895
30.8268,-12.9522,SER,,0.6407,22.8812,21.2481,19.8703
30.8381,15.2051,SER,,0.0665,18.1905,17.7059,17.4214
30.846,-7.7256,SER,0.5378,0.5408,21.9225,20.0895,18.8864
30.868,8.06,DEV,,0.6278,23.151,21.2719,19.8733
31.0262,-2.9054,SER,0.2371,0.2546,19.0799,17.7284,16.9001
31.0334,-6.0833,DEV,,0.6995,23.0344,21.1053,19.5013
31.2008,-46.932,SER,,0.2455,18.8417,17.6295,16.8908
31.2392,-41.8455,SER,,0.2492,18.8071,17.4395,16.7015
31.6626,-17.9579,SER,,0.346,19.3231,17.6094,16.7241
31.6648,-7.9674,DEV,,0.8637,24.1339,21.9724,19.9228
31.6926,-36.4939,SER,,0.2608,20.7131,19.8036,19.1026
32.0264,-11.3357,SER,,0.405,20.4385,19.1399,18.3174
32.4929,0.7432,SER,0.3018,0.2757,19.795,18.3016,17.4009
32.5038,-44.9585,SER,,0.5255,20.8481,20.0595,19.5258
32.7408,30.7377,DEV,,0.2769,24.0219,21.2437,19.7154
